1,532,488,344,1059,717,618,107,1006,692,2236,443,440,458,631,142
532,1,139,431,1580,1245,1137,568,1463,1129,2750,964,962,989,1152,599
488,139,1,485,1546,1180,1064,548,1359,1024,2664,895,894,934,1119,525
344,431,485,1,1230,989,917,288,1339,1033,2517,746,741,724,819,483
1059,1580,1546,1230,1,481,616,1013,892,922,1424,714,711,634,428,1048
717,1245,1180,989,481,1,140,714,511,447,1529,286,287,267,289,657
618,1137,1064,917,616,140,1,632,477,330,1618,176,179,209,346,541
107,568,548,288,1013,714,632,1,1052,752,2243,460,455,448,586,236
1006,1463,1359,1339,892,511,477,1052,1,336,1344,612,618,681,797,886
692,1129,1024,1033,922,447,330,752,336,1,1664,372,378,473,669,563
2236,2750,2664,2517,1424,1529,1618,2243,1344,1664,1,1794,1797,1795,1730,2151
443,964,895,746,714,286,176,460,612,372,1794,1,7,111,345,371
440,962,894,741,711,287,179,455,618,378,1797,7,1,105,340,370
458,989,934,724,634,267,209,448,681,473,1795,111,105,1,240,419
631,1152,1119,819,428,289,346,586,797,669,1730,345,340,240,1,630
142,599,525,483,1048,657,541,236,886,563,2151,371,370,419,630,1
