0,911,17732,6176,2831,6649,13088,16322,23674,15565
911,0,18135,6629,3157,6800,13792,16804,24115,15934
17732,18135,0,22135,14980,23698,7945,2192,6040,2291
6176,6629,22135,0,8568,2334,15802,20370,27745,20188
2831,3157,14980,8568,0,9380,10954,13659,20959,12784
6649,6800,23698,2334,9380,0,17755,22037,29442,21660
13088,13792,7945,15802,10954,17755,0,5762,12442,7107
16322,16804,2192,20370,13659,22037,5762,0,7407,2406
23674,24115,6040,27745,20959,29442,12442,7407,0,8323
15565,15934,2291,20188,12784,21660,7107,2406,8323,0
