0,36074,31558,71951,42875,51519,57556,40719,41403,66442
36074,0,17700,45571,6816,17793,23017,13968,5631,61435
31558,17700,0,63237,21468,34662,29553,31205,22269,45268
71951,45571,63237,0,42689,29596,48740,33291,41188,104606
42875,6816,21468,42689,0,13351,16931,14996,2877,62327
51519,17793,34662,29596,13351,0,21788,12562,12475,75032
57556,23017,29553,48740,16931,21788,0,30324,19620,58458
40719,13968,31205,33291,14996,12562,30324,0,12226,75402
41403,5631,22269,41188,2877,12475,19620,12226,0,64337
66442,61435,45268,104606,62327,75032,58458,75402,64337,0
